Category,Name,UnitPrice,OptionName,OptionPrice,OptionOrdinal
피자,피자 M,0,더블치즈,22500,0
피자,피자 M,0,베지테리언,22500,1
피자,피자 M,0,콰트로치즈,24500,2
피자,피자 M,0,투머치페퍼로니,24500,3
피자,피자 M,0,딥베이컨체다,24500,4
피자,피자 M,0,슈퍼콤비,24500,5
피자,피자 M,0,감자농장,25500,6
피자,피자 M,0,불난감자농장,26500,7
피자,피자 M,0,트러플해쉬브라운,25500,8
피자,피자 M,0,그릴드콘치즈,25500,9
피자,피자 M,0,통파인애플베이컨,25500,10
피자,피자 M,0,달달고구마,25500,11
피자,피자 M,0,직화불고기,26500,12
피자,피자 M,0,트러플머쉬룸불고기,26500,13
피자,피자 M,0,갈릭풀드포크,26500,14
피자,피자 M,0,훈제삼겹파티,27500,15
피자,피자 M,0,불고기타코,27500,16
피자,피자 M,0,바질토마토마스카포네,27500,17
피자,피자 M,0,맘모스새우,29500,18
피자,피자 L,0,더블치즈,24900,0
피자,피자 L,0,베지테리언,24900,1
피자,피자 L,0,콰트로치즈,26900,2
피자,피자 L,0,투머치페퍼로니,26900,3
피자,피자 L,0,스파이시페퍼로니,27900,4
피자,피자 L,0,딥베이컨체다,26900,5
피자,피자 L,0,슈퍼콤비,26900,6
피자,피자 L,0,감자농장,27900,7
피자,피자 L,0,불난감자농장,28900,8
피자,피자 L,0,트러플해쉬브라운,27900,9
피자,피자 L,0,구운콘치즈,27900,10
피자,피자 L,0,통파인애플베이컨,27900,11
피자,피자 L,0,달달고구마,27900,12
피자,피자 L,0,직화불고기,28900,13
피자,피자 L,0,트러플머쉬룸불고기,28900,14
피자,피자 L,0,갈릭풀드포크,28900,15
피자,피자 L,0,훈제삼겹파티,29900,16
피자,피자 L,0,불고기타코,29900,17
피자,피자 L,0,바질토마토마스카포네,29900,18
피자,피자 L,0,맘모스새우,31900,19
반반피자,반반피자M,24900,더블치즈,0,0
반반피자,반반피자M,24900,베지테리언,0,1
반반피자,반반피자M,24900,콰트로치즈,1000,2
반반피자,반반피자M,24900,투머치페퍼로니,1000,3
반반피자,반반피자M,24900,딥베이컨체다,1000,4
반반피자,반반피자M,24900,슈퍼콤비,1000,5
반반피자,반반피자M,24900,스파이시페퍼로니,1500,6
반반피자,반반피자M,24900,감자농장,1500,7
반반피자,반반피자M,24900,트러플해쉬브라운,1500,8
반반피자,반반피자M,24900,구운콘치즈,1500,9
반반피자,반반피자M,24900,통파인애플베이컨,1500,10
반반피자,반반피자M,24900,달달고구마,1500,11
반반피자,반반피자M,24900,직화불고기,2000,12
반반피자,반반피자M,24900,더블포테이토크럼블,2000,13
반반피자,반반피자M,24900,갈릭풀드포크,2000,14
반반피자,반반피자M,24900,불고기타코,2500,15
반반피자,반반피자M,24900,훈제삼겹파티,2500,16
